Chocolate candy, peppermint center;1;"large - 2 1/2"" diameter x 1/2""";30.711;1.514;0.108;29.124;0;0.645;0.421
Chocolate candy, peppermint center, sugar free;4;piece;0.218;0;0.076;0.045;0.086;0;0.812
Chocolate Caramel Peanut Cluster (Brach's);3;piece;18.191;2.502;0.296;10.817;3.241;1.798;0.767
Chocolate chips, sugar free;1;tablespoon;0.076;0;0.033;0.029;0;0;0.354
Chocolate covered bridge mix;0.25;cup;24.413;1.665;1.297;19.739;1.725;0.53;0.367
Chocolate covered caramel;7;piece - each 0.2 OZ;26.851;1.126;0.126;21.063;2.902;0.819;0.126
Chocolate covered caramel, sugar free;7;piece;0.394;0.15;0.026;0.013;0.199;0;0.283
Chocolate covered cherries;2;piece;30.961;0.08;0.066;30.289;0.82;0.001;0.144
Chocolate covered chow mein noodles and nuts;3;"piece - approx 1 1/2"" diameter";17.688;0.856;0.045;15.636;0.645;0.229;4.771
Chocolate covered nuts other than almonds or peanuts;0.25;cup;11.937;0.067;0.05;10.886;1.615;0;2.327
Chocolate covered peanut butter egg;0.5;medium - each 4 OZ;26.745;0.057;0.057;26.802;1.775;0;0.663
Chocolate covered peanut clusters;3;piece;15.868;0.068;0.068;14.413;2.28;0;0.644
Chocolate covered peanuts;0.25;cup;14.002;0.425;0.089;13.127;1.3;0.279;0.656
Chocolate covered peanuts, sugar free;0.25;cup;0.815;0;0.027;0.729;0.06;0;0.808
Chocolate covered pecans and caramel (e.g. turtles);3;piece;22.501;1.715;0.209;17.096;2.299;1.226;0.113
Chocolate covered pecans and caramel, sugar free (e.g. turtles);3;piece;0.867;0.04;0.056;0.315;0.453;0;0.203
Chocolate covered raisins, sugar free;0.25;cup;16.7;7.777;8.342;0.138;0.076;0;1.016
Chocolate covered toffee;6;piece - each 0.25 OZ;24.493;0.032;0.032;23.716;1.229;0;0.217
Chocolate covered toffee, nuts;4;piece;17.759;0.012;0.019;17.232;0.471;0.003;0.167
Chocolate covered toffee, sugar free;3;piece;0.459;0.005;0.039;0.136;0.268;0.001;0.4
Chocolate creme egg;1;medium - each 1 OZ;20.712;1.021;0.073;19.642;0;0.435;0.284
Chocolate malted milk balls;14;ball;25.749;1.104;0.126;20.32;3.358;0.84;0.341
Chocolate nonpareil candy;14;piece;21.409;0.028;0.028;20.73;1.075;0;4.349
Chocolate sprinkles (Jimmies);2;tablespoon;13.304;0;0.028;13.275;0;0;0.303
Chocolate truffles;3;piece;23.468;0.091;0.091;21.281;3.463;0;0.606
Chocolate truffles, homemade;1;piece;12.489;1.021;0.023;11;0.129;0;0.708
Chocolate truffles, sugar free;3;piece;0.376;0;0.041;0.02;0.306;0;0.435
Chuckles;4;piece - each 0.4 OZ;27.914;9.085;7.203;11.626;0;0;8.101
Chunky Bar;0.333;bar - each 4.25 OZ;18.496;1.451;1.548;14.125;2.256;0;0.704
Cinnamon Bears;20;piece;21.905;3.325;0.355;15.805;0;2.42;0
Cinnamon disks;3;piece;11.322;1.589;0.169;8.406;0;1.157;0
Cinnamon disks, sugar free;3;piece;0;0;0;0;0;0;0
Circus Peanuts;6;piece;29.014;1.982;0;25.344;0;1.688;0
Classic Fruit Chocolates (Liberty Orchards);3;piece;26.001;0.78;0.149;24.514;0.159;0.397;2.959
Coconut candy;1;bar - each 1.4 OZ;25.572;1.416;0.137;21.577;0;0.974;0
Conversations hearts;12;small piece;9.435;1.325;0.141;7.005;0;0.964;0
Cotlets (Liberty Orchards);3;piece;24.001;1.844;0.202;20.617;0;1.339;0.004
Cotton candy;2;cone - each approx 3 cups;26.418;3.709;0.395;19.614;0;2.701;0
Crystal Light Sugar Free Chewy Candy;8;piece;0.571;0.19;0.19;0.19;0;0;0
Crystal Light Sugar Free Hard Candy;5;piece;0;0;0;0;0;0;0
Crystal Light Sugar Free Hard Candy Energy;5;piece;0;0;0;0;0;0;0
Crystal Light Sugar Free Hard Candy Immunity;5;piece;0;0;0;0;0;0;0
Cut Rock Candy (Brach's);3;piece;9;1.099;0;7.12;0;0.781;0
